Prompt	CVSS v3 Vector String	Correct Answer
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H	7.8
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:L	7.6
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H	9.8
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H	10
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:P/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:P/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H	7.6
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:N/A:H	6.5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	7.5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H	7.2
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H	8.8
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H	6.5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N	5.3
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N	6.5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N	5.3
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:H/PR:L/UI:R/S:U/C:N/I:H/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:H/PR:L/UI:R/S:U/C:N/I:H/A:N	4.4
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:L	7.7
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H	8.4
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H	6.5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:H	8.2
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L	7.1
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H	9.1
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N	7.5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H	5.9
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H	8.1
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H	7.5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:C/C:L/I:L/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:H/UI:N/S:C/C:L/I:L/A:H	8.2
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:C/C:N/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:H/UI:N/S:C/C:N/I:N/A:H	6.8
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L	3.3
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H	8.6
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N	5.5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L	5.3
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N	4.8
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:L	2.7
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N	4.1
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N	4.4
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N	4.9
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:L/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:L/A:N	5.5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	6.2
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N	4.3
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:A/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:A/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H	9.6
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:N	6.4
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N	4.3
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N	9.1
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:N. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:N	4.7
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H	4.9
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:L	7.1
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L	4.3
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:L	5
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:H	6.6
Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.	AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H	8
